lila_id	lemma_latin	lemma_greek	certainty	written_representation	lemma_variant	compound	lsj_cite_urn
http://lila-erc.eu/data/id/lemma/105405	herpes	ἕρπης					
http://lila-erc.eu/data/id/lemma/135820	heteroclitus	ἑτερόκλιτος					
http://lila-erc.eu/data/id/lemma/57450	heuretes	εὑρέτης					
http://lila-erc.eu/data/id/lemma/105420	hexaclinon	ἑξάκλινον					
http://lila-erc.eu/data/id/lemma/105424	hexagonum	ἑξάγωνον					
http://lila-erc.eu/data/id/lemma/105426	hexameter	ἑξάμετρος					
http://lila-erc.eu/data/id/lemma/105428	hexaphoros	ἑξάφορος					
http://lila-erc.eu/data/id/lemma/105430	hexaptotos	ἑξαπτωτος					
http://lila-erc.eu/data/id/lemma/105431	hexapylon	ἑξάπυλον					
http://lila-erc.eu/data/id/lemma/105434	hexastichus	ἑξάστιχος					
http://lila-erc.eu/data/id/lemma/105438	hexeris	ἑξήρης					
http://lila-erc.eu/data/id/lemma/105453	hibiscum	ἰβίσκος					
http://lila-erc.eu/data/id/lemma/135818	hieronicae	ἱερονῖκαι					
http://lila-erc.eu/data/id/lemma/105496	hinnus	ἵννος		γῖννος			
http://lila-erc.eu/data/id/lemma/135822	hippagogoe	ἱππαγωγοί					
http://lila-erc.eu/data/id/lemma/105506	hippius	ἵππιος					
http://lila-erc.eu/data/id/lemma/105510	hippocentaurus	ἱπποκένταυρος					
http://lila-erc.eu/data/id/lemma/105512	hippodamus	ἱππόδαμος					
http://lila-erc.eu/data/id/lemma/105513	hippodromus	ἱππόδρομος					
http://lila-erc.eu/data/id/lemma/105515	hippomanes	ἱππομανές					
http://lila-erc.eu/data/id/lemma/105527	hippopotamius					ἵππος ποτάμιος	
http://lila-erc.eu/data/id/lemma/105530	hippotoxota	ἱπποτοξότης					
http://lila-erc.eu/data/id/lemma/105531	hippuros	ἵππουρος					
http://lila-erc.eu/data/id/lemma/105561	historia	ἱστορία					
http://lila-erc.eu/data/id/lemma/105564	historice	ἱστορική					
http://lila-erc.eu/data/id/lemma/105563	historicus	ἱστορικός					
http://lila-erc.eu/data/id/lemma/105626	homoeomeria	ὁμοιομέρεια					
http://lila-erc.eu/data/id/lemma/105628	homoeoptoton	ὁμοιόπτωτον					
http://lila-erc.eu/data/id/lemma/105630	homoeoteleuton	ὁμοιοτέλευτον					
http://lila-erc.eu/data/id/lemma/135823	homonyma	ὁμώνυμα					
http://lila-erc.eu/data/id/lemma/105662	hoplomachus	ὁπλόμαχος					
http://lila-erc.eu/data/id/lemma/105663	hora	ὥρα					
http://lila-erc.eu/data/id/lemma/135824	horaeum	ὡραῖον					
http://lila-erc.eu/data/id/lemma/105680	horistice	ὁριστική					
http://lila-erc.eu/data/id/lemma/105681	horizon	ὁρίζων					
http://lila-erc.eu/data/id/lemma/105688	horologium	ὡρολόγιον					
http://lila-erc.eu/data/id/lemma/105692	horoscopo	ὡροσκοπέω					
http://lila-erc.eu/data/id/lemma/105694	horoscopos	ὡροσκόπος					
http://lila-erc.eu/data/id/lemma/105780	hyacinthinus	ὑακίνθινος					
http://lila-erc.eu/data/id/lemma/105782	hyacinthus	ὑάκινθος					
http://lila-erc.eu/data/id/lemma/105784	hyaena	ὕαινα					
http://lila-erc.eu/data/id/lemma/105789	hyalus	ὕαλος					
http://lila-erc.eu/data/id/lemma/105793	hydra	ὕδρα					
http://lila-erc.eu/data/id/lemma/105795	hydragogia	ὑδραγωγία					
http://lila-erc.eu/data/id/lemma/105799	hydraules	ὑδραύλης					
http://lila-erc.eu/data/id/lemma/105801	hydraulicus	ὑδραυλικός					
http://lila-erc.eu/data/id/lemma/105987	hydraulus	ὕδραυλος					
http://lila-erc.eu/data/id/lemma/105806	hydria	ὑδρία					
http://lila-erc.eu/data/id/lemma/105807	hydrocele	ὑδροκήλη					
http://lila-erc.eu/data/id/lemma/105824	hydropicus	ὑδρωπικός					
http://lila-erc.eu/data/id/lemma/105828	hydrops	ὕδρωψ					
http://lila-erc.eu/data/id/lemma/105829	hydrus	ὕδρος					
http://lila-erc.eu/data/id/lemma/105835	hyle	ὕλη					
http://lila-erc.eu/data/id/lemma/105836	hymenaeos	ὑμεναῖος					
http://lila-erc.eu/data/id/lemma/105849	hymnus	ὕμνος					
http://lila-erc.eu/data/id/lemma/105868	hyperbaton	ὑπερβατόν					
http://lila-erc.eu/data/id/lemma/105870	hyperbole	ὑπερβολή					
http://lila-erc.eu/data/id/lemma/105891	hyperbrachys	ὑπέρβραχυς					
http://lila-erc.eu/data/id/lemma/105872	hypercatalectus	ὑπερκατάληκτος					
http://lila-erc.eu/data/id/lemma/105884	hyphen					ὑφ᾽ἕν	
http://lila-erc.eu/data/id/lemma/105896	hypocauston	ὑπόκαυστον					
