lila_id,lemma_latin,lemma_greek,certainty,written_representation,lemma_variant,compound,lsj_exactMatch,lsj_broadMatch,lsj_relatedMatch
http://lila-erc.eu/data/id/lemma/99529,diota,δίωτος,,,,,n27792,,
http://lila-erc.eu/data/id/lemma/99535,diphthongos,δίφθογγος,,,,,n27595,,
http://lila-erc.eu/data/id/lemma/99536,diphyes,διφυής,,,,,n27625,,
http://lila-erc.eu/data/id/lemma/135813,diplasiasmus,διπλασιασμός,,,,,n27355,,
http://lila-erc.eu/data/id/lemma/99541,diplois,διπλοΐς,,,,,n27389,,
http://lila-erc.eu/data/id/lemma/99542,diploma,δίπλωμα,,,,,n27399,,
http://lila-erc.eu/data/id/lemma/99545,dipodia,διποδία,,,,,n27403,,
http://lila-erc.eu/data/id/lemma/99550,diptotos,δίπτωτος,,,,,n27425,,
http://lila-erc.eu/data/id/lemma/99553,dipyros,δίπυρος,,,,,n27430,,
http://lila-erc.eu/data/id/lemma/99620,discobolos,δισκοβόλος,,,,,n27465,,
http://lila-erc.eu/data/id/lemma/99747,dispondeus,δισπόνδειος,,,,,n27477,,
http://lila-erc.eu/data/id/lemma/99860,distichon,δίστιχον,,,,,n27505,,
http://lila-erc.eu/data/id/lemma/99859,distichus,δίστιχος,,,,,n27505,,
http://lila-erc.eu/data/id/lemma/99201,disyllabus,δισύλλαβος,,,,,n27514,,
http://lila-erc.eu/data/id/lemma/99897,dithyrambicus,διθυραμβικός,,,,,n26808,,
http://lila-erc.eu/data/id/lemma/99898,dithyrambus,διθύραμβος,,,,,n26815,,
http://lila-erc.eu/data/id/lemma/99905,ditrochaeus,διτρόχαιος,,,,,n27540,,
http://lila-erc.eu/data/id/lemma/99972,dochmius,δόχμιος,,,,,n28232,,
http://lila-erc.eu/data/id/lemma/100004,dogma,δόγμα,,,,,n27818,,
http://lila-erc.eu/data/id/lemma/100023,dolichodromos,δολιχοδρόμος,,,,,n27916,,
http://lila-erc.eu/data/id/lemma/100090,dorcas,δορκάς,,,,,n28086,,
http://lila-erc.eu/data/id/lemma/100107,doryphoros,δορυφόρος,,,,,n28129,,
http://lila-erc.eu/data/id/lemma/100113,dracaena,δράκαινα,,,,,n28260,,
http://lila-erc.eu/data/id/lemma/100115,drachma,δραχμή,,,,,n28355,,
http://lila-erc.eu/data/id/lemma/100118,draco,δράκων,,,,,n28297,,
http://lila-erc.eu/data/id/lemma/100134,drama,δρᾶμα,,,,,n28299,,
http://lila-erc.eu/data/id/lemma/100135,dramaticus,δραματικός,,,,,n28300,,
http://lila-erc.eu/data/id/lemma/100136,drapeta,δραπέτης,,,,,n28325,,
http://lila-erc.eu/data/id/lemma/100147,dromas,δρομάς,,,,,n28418,,
http://lila-erc.eu/data/id/lemma/100155,dropax,δρῶπαξ,,,,,n28537,,
http://lila-erc.eu/data/id/lemma/100158,druppa,δρύππα,,,δρύπεψ,δρυπεπής,n28504,,
http://lila-erc.eu/data/id/lemma/100235,dulice,δουλικῶς,,,,,n28168,,
http://lila-erc.eu/data/id/lemma/100331,dynastes,δυνάστης,,,,,n28582,,
http://lila-erc.eu/data/id/lemma/100337,dyspepsia,δυσπεψία,,,,,n29406,,
http://lila-erc.eu/data/id/lemma/93763,eccheuma,ἔκχευμα,,,,,,,n33256
http://lila-erc.eu/data/id/lemma/100521,ecdicus,ἔκδικος,,,,,n31892,,
http://lila-erc.eu/data/id/lemma/100525,echidna,ἔχιδνα,,,,,n45957,,
http://lila-erc.eu/data/id/lemma/100529,echinus,ἐχῖνος,,,,,n45980,,
http://lila-erc.eu/data/id/lemma/100533,echo,ἠχώ,,,,,n47687,,
http://lila-erc.eu/data/id/lemma/100536,eclipsis,ἔκλειψις,,,,,n32335,,
http://lila-erc.eu/data/id/lemma/100537,eclipticus,ἐκλειπτικός,,,,,n32332,,
http://lila-erc.eu/data/id/lemma/100539,ecloga,ἐκλογή,,,,,n32386,,
http://lila-erc.eu/data/id/lemma/100547,ecthlipsis,ἔκθλιψις,,,,,n32034,,
http://lila-erc.eu/data/id/lemma/100549,ectropa,ἐκτροπή,,,,,n33086,,
http://lila-erc.eu/data/id/lemma/100778,electrum,ἤλεκτρον,,,,,n46822,,
http://lila-erc.eu/data/id/lemma/100782,elegi,ἔλεγοι,,,,,n33532,,
http://lila-erc.eu/data/id/lemma/102626,elegia,ἐλεγεία,,,,,n33513,,
http://lila-erc.eu/data/id/lemma/100784,elegiacus,ἐλεγιακός,,,,,n33514,,
http://lila-erc.eu/data/id/lemma/100787,elegidion,ἐλεγείδιον,,,,,,,
http://lila-erc.eu/data/id/lemma/100794,elenchus,ἔλεγχος,,,,,n33538,,
http://lila-erc.eu/data/id/lemma/100801,elephantiasis,ἐλεφαντίασις,,,,,n33643,,
http://lila-erc.eu/data/id/lemma/100810,elephantus,ἐλέφας,,,,,n33671,,
http://lila-erc.eu/data/id/lemma/100812,elephas,ἐλέφας,,,,,n33671,,
http://lila-erc.eu/data/id/lemma/100817,eleutheria,ἐλευθερία,,,,,n33603,,
http://lila-erc.eu/data/id/lemma/100850,elleborus,ἐλλέβορος,,ἑλλέβορος,,,n33800,,
http://lila-erc.eu/data/id/lemma/100852,ellipsis,ἔλλειψις,,,,,n33811,,
http://lila-erc.eu/data/id/lemma/100861,elogium,ἐλεγεῖον,,,,,n33519,,
http://lila-erc.eu/data/id/lemma/100923,embadon,ἔμβαδον,,,,,n33947,,
http://lila-erc.eu/data/id/lemma/100926,embamma,ἔμβαμμα,,,,,n33957,,
http://lila-erc.eu/data/id/lemma/100927,embasicoetas,ἐμβασικοίτης,,,,,n33965,,
http://lila-erc.eu/data/id/lemma/100932,emblema,ἔμβλημα,,,,,n34007,,
http://lila-erc.eu/data/id/lemma/100936,embolium,ἐμβόλιον,,,,,n34025,,
http://lila-erc.eu/data/id/lemma/100944,embolum,ἔμβολον,,,,,n34030,,
http://lila-erc.eu/data/id/lemma/101015,emphasis,ἔμφασις,,,,,n34603,,
http://lila-erc.eu/data/id/lemma/100484,empiricus,ἐμπειρικός,,,,,n34271,,
http://lila-erc.eu/data/id/lemma/101026,emplastrum,ἔμπλαστρον,,,,,n34378,,
http://lila-erc.eu/data/id/lemma/101033,emporium,ἐμπόριον,,,,,n34491,,
http://lila-erc.eu/data/id/lemma/101034,emporos,ἔμπορος,,,,,n34495,,
http://lila-erc.eu/data/id/lemma/101012,enallage,ἐναλλαγή,,,,,n34802,,
http://lila-erc.eu/data/id/lemma/101080,encaenia,ἐγκαίνια,,,,,n30086,,
http://lila-erc.eu/data/id/lemma/101088,encaustus,ἔγκαυστος,,,,,n30238,,
http://lila-erc.eu/data/id/lemma/101091,enchorius,ἐγχώριος,,,,,n30653,,
http://lila-erc.eu/data/id/lemma/101095,enchytus,ἔγχυτος,,,,,n30646,,
http://lila-erc.eu/data/id/lemma/101097,encliticus,ἐγκλιτικός,,,,,n30321,,
http://lila-erc.eu/data/id/lemma/101099,encomboma,ἐγκόμβωμα,,,,,n30367,,
http://lila-erc.eu/data/id/lemma/135814,encomium,ἐγκώμιον,,,,,n30499,,
http://lila-erc.eu/data/id/lemma/101107,endromis,ἐνδρομίς,,,,,n35296,,
http://lila-erc.eu/data/id/lemma/101134,ennosigaeus,ἐννοσίγαιος,,,,,n35876,,
http://lila-erc.eu/data/id/lemma/101156,enterocele,ἐντεροκήλη,,,,,n36213,,
http://lila-erc.eu/data/id/lemma/101157,enterocelicus,ἐντεροκηλικός,,,,,,,n36213
http://lila-erc.eu/data/id/lemma/101161,entheus,ἔνθεος,,,,,n35576,,
http://lila-erc.eu/data/id/lemma/101164,enthymema,ἐνθύμημα,,,,,n35643,,
http://lila-erc.eu/data/id/lemma/101202,epaphaeresis,ἐπαφαίρεσις,,,,,n38402,,
http://lila-erc.eu/data/id/lemma/101212,ephebus,ἔφηβος,,,,,n45715,,
http://lila-erc.eu/data/id/lemma/101217,ephemeris,ἐφημερίς,,,,,n45739,,
http://lila-erc.eu/data/id/lemma/101221,ephippium,ἐφίππιον,,,,,n45786,,
http://lila-erc.eu/data/id/lemma/101223,ephorus,ἔφορος,,,,,n45843,,
http://lila-erc.eu/data/id/lemma/101224,epibata,ἐπιβάτης,,,,,n38898,,
http://lila-erc.eu/data/id/lemma/101228,epicedion,ἐπικήδειον,,,,,n39699,,
http://lila-erc.eu/data/id/lemma/101230,epichirema,ἐπιχείρημα,,,,,n41620,,
http://lila-erc.eu/data/id/lemma/101231,epichysis,ἐπίχυσις,,,,,n41692,,
http://lila-erc.eu/data/id/lemma/49367,epicoenus,ἐπίκοινος,,,,,n39795,,
http://lila-erc.eu/data/id/lemma/101236,epicopos,ἐπίκωπος,,,,,n39975,,
http://lila-erc.eu/data/id/lemma/101239,epicrocus,ἐπίκροκος,,,,,n39894,,
http://lila-erc.eu/data/id/lemma/101242,epicus,ἐπικός,,,,,n39835,,
http://lila-erc.eu/data/id/lemma/101246,epidecticalis,ἐπιδεικτικός,,,,,n39128,,
http://lila-erc.eu/data/id/lemma/101251,epidipnis,ἐπιδειπνίς,,,,,n39134,,
http://lila-erc.eu/data/id/lemma/101253,epidromus,ἐπίδρομος,,,,,n39317,,
http://lila-erc.eu/data/id/lemma/101254,epigramma,ἐπίγραμμα,,,,,n39080,,
http://lila-erc.eu/data/id/lemma/101268,epilogus,ἐπίλογος,,,,,n40077,,
http://lila-erc.eu/data/id/lemma/101271,epimenia,ἐπιμήνια,,,,,n40215,,
http://lila-erc.eu/data/id/lemma/101274,epinicium,ἐπινίκιον,,,,,n40326,,
http://lila-erc.eu/data/id/lemma/101277,epipedonicus,,,,,ἐπὶ πέδον,,,n40462
http://lila-erc.eu/data/id/lemma/101278,epipedos,,,,,ἐπὶ πέδον,,,n40462
http://lila-erc.eu/data/id/lemma/101283,epiphonema,ἐπιφώνημα,,,,,n41574,,
http://lila-erc.eu/data/id/lemma/101284,epiphora,ἐπιφορά,,,,,n41541,,
http://lila-erc.eu/data/id/lemma/101297,epistates,ἐπιστάτης,,,,,n40987,,
http://lila-erc.eu/data/id/lemma/101302,epistolium,ἐπιστόλιον,,,,,n41051,,
http://lila-erc.eu/data/id/lemma/101298,epistula,ἐπιστολή,,,,,n41045,,
http://lila-erc.eu/data/id/lemma/101305,epistylium,ἐπστύλιον,,,,,n41096,,
